"filename", "language", "Dart", "comment", "blank", "total"
"/home/catalunha/myapp/learning_about_b4a_flutter/lib/app/view/pages/splash/splash_page.dart", "Dart", 20, 7, 3, 30
"Total", "-", 20, 7, 3, 30
